Name,I1,N1,I2,N2,I3,N3,I4,N4,I5,N5,I6,N6,I7,N7,I8,N8,I9,N9,I10,N10,I11,N11,I12,N12,I13,N13,I14,N14,I15,N15,I16,N16,I17,I18,N18,I19,N19,I20,N20
ADEL 17 Glautaract Drop,Aurum chloratum,97,Cynara scolymus,278,Dulcamara,297,Euphrasia,319,Glonoinum,368,Hedera helix,403,Ruta graveolens,693,Tabacum,785,blood vessels,134,eyes,327,mucous membranes,543,lymph,516,bones,138,and joints,55,carbohydrate,193,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL 18 Glucorect Drop,Acidum Lacticum,9,Acidum Sulfuricum,13,Allium Cepa,30,Chionanthus Virginica,216,Phosphorus,611,Zincum Sulfuricum,872,Stigmata Maydis,766,Syzygium Cumini,783,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL 2 Apo-Ham Drop,Acidum nitricum,10,Aesculus hippocastanum,20,Anacardium,40,Collinsonia canad,239,Ignatia,433,Melilotus officinalis,526,Sedum acre,716,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL 21 Proscenat Drop,Acidum sulfuricum,13,Conium,244,Staphysagria,762,Cantharis,187,Selenium,717,Nasturtium aquaticum,554,Ononis spinosa,595,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL 26 Oss-Regen Drop,Acidum phosphoricum,12,Galipea officinalis,349,Asa foetida,91,Bellis perennis,118,Bryonia cretica,152,Equisetum arvense,311,Galipea officinalis,349,Guajacum,380,Ruta graveolens,693,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL 27 Inflamyar Drop,Guajacum 6X,381,neuralgia,573,neuritis,575,tendonitis,789,pulling pain,637,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL 39 Apo-Sciatica Drop,Guajacum 6X,381,hypertonia,427,calf cramps,181,angina pectoris,68,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL 44 Venorbis Drop,Sulphur 12X,774,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL 48 Itires Drop,Echinacea 6X,303,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL 55 Tinal Spondylitis Drop,Bryonia 6x,150,Cimicifuga 4x,221,Dulcamara 8x,298,Glechoma 6x,367,Helleborus 10x,404,Kalmia 8x,481,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL 57 Specl-Chol Digestion Drop,Phosphorus 12x,612,amylases (carbohydrates),39,sleepy,738,dry mucous,295,mental exhaustions,528,gastritis,354,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL 6 Apo-Strum Drop,Conium 12X,245,Crataegus 4X,259,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL 7 Apo-Tuss Drop,Bryonia 6X,150,Gelsemium 6X,358,bronchitis,146,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL 82 Hepat Liver Tonic Drop,Boldo,136,Bryonia,148,Carduus mar,198,Cynara MT,277,Fumaria,348,Hydrastis,420,Taraxacum MT,787,Chelidonium,209,Obesity,587,diabetes,286,enabling detoxification,309,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL 9 Cri-Regen Drop,Cynara scolymus,278,Graphits,377,Natrium carbonicum,555,Sarothamnus scoparius,704,Thalium aceticum,794,Ustaligo maydis,838,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL Aalserum. Mother Tincture Q,kidney,484,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL Merc Sol Dilution 30 CH,e.g. camphor,301,garlic,351,onion,593,coffee,236,hing,412,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
ADEL Syzygium Jambolanum Mother Tincture Q,Syzgium Jambolanum,782,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Adven Naturals Face Wash with ABC+ Neem and Tulsi,Aloevera,34,Berberis Aquifolium,122,Calendula,176,Neem,572,Tulsi,828,whiteheads,862,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Allen A02 Anti Fungal Drop,Zincum metallicum,871,Echinacea angustifolia,304,Sulphur iodatum,777,Tellurium,788,Treats earache,817,dermatitis,285,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Allen A08 Diabetes Drop,Heloniasdioica 3x,406,emaciation,308,great thirst,378,diabetic ulceration,287,restlessness,667,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Allen A19 Joint Pains Drop,Bryonia alba,151,Acidumsulphuricum,16,Rhustoxicodendron,679,Causticum,202,Rutagraveolens,695,muscular pains,547,sciatica pains,712,Cure rheumatism,268,stiffness,765,lame,489,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Allen A21 Leucoderma Drop,Hydrocotyle asiatica,423,Myristica sebifera,551,Arsenicum album,85,Natrum muriaticum,561,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Allen A53 Alopecia Drop,Alfalfa 3x,27,Jaborandi 3x,459,Lycopodium 3x,513,Weisbaden 3x,860,eczema,305,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Allen A82 Premature Greying Of Hair Drop,Weisbaden 3x,860,Psorinum 3x,635,Mezereum 3x,535,Staphysagria 3x,763,ThujaOccidentalis 3x,804,Silicea 3x,728,SarracemaPurpurea 3x,705,ZincumMetallicum 3x,873,eczema,305,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Allen A87 Creatinine & Blood Urea Drop,Arsenicum album,85,Apis mellifica,75,Chimaphila umbellate,212,Clematis recta,231,Equisetum hyemale,312,Lycopodium clavatum,515,Sepia,722,Serum anguilae,723,Metabolic disturbances,532,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Allen Gastropep Digestive Tonic,gastralgia,353,indigestion,442,heart burn,400,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Allen Snorid Drop,Arsenicum album,85,Belladonna,116,Bryonia alba,151,Drosera rotundifolia,293,Camphora,185,Hydrastis canadensis,422,Cistus canadensis,228,Ephedra vulgaris,310,Echinacea angustifolia,304,Histaminum hydrochloricum,414,Ignatia amara,434,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,,#N/A,,#N/A,,#N/A
Allen's Arnica Plus (Hair Vitalizer 100 Ml+ Triofer 50 Tablets) Kit,Arnica Montana,82,Aloe socotrina,32,Amloki,37,Haritaki,390,Nicotinum,577,Nyctanthes arbortristis,585,Resorcin,666,Jaborandi,458,Thea chin,796,anaemia etc,42,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Allen's Triofer Homoeo Hair & Care Tablet,Carbo vegetabilis,192,Ferrum metallicum,334,Magnesium phosphoricum,520,Kalium phosphoricum,477,Calcarea phosphorica,165,Natrum phosphoricum,564,Ferrum phosphoricum,336,Lycopodium clavatum,515,Cinchona officinalis,224,stomach troubles,768,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
